zip,lat,lon
44359,51.504225397481,7.48365411122495
44369,51.504225397481,7.48365411122495
44379,51.504225397481,7.48365411122495
44388,51.504225397481,7.48365411122495
15837,52.05255,13.55432
53520,50.4,7.01667
24837,54.51808,9.57038
29683,52.92123,9.82285000000002
94366,48.95,12.8
74564,49.15,10.0833
96197,49.9833,11.3
88149,47.5833,9.61667
49828,52.4965452599612,6.96676655952456
84149,48.3667,12.25
87679,47.9333,10.7167
55294,49.9353,8.32
02739,50.98658,14.65369
55471,49.9333,7.48333
47804,51.3050710630849,6.60032777631841
47805,51.3050710630849,6.60032777631841
47807,51.3050710630849,6.60032777631841
47809,51.3050710630849,6.60032777631841
06318,51.4617,11.7483999999999
89429,48.6333,10.3167
99887,50.8167,10.6667
95194,50.3,12.05
38179,52.3562647621326,10.4319696243288
74599,49.211,10.063
56479,50.6667,8.06667
24589,54.1930774566587,9.84013468170718
24242,54.2972792118201,9.92740236366335
38154,52.25248,10.8140100000001
87778,48.0333,10.4333
84405,48.24358,12.222853
98530,50.549722,10.633056
37688,51.6685,9.37233000000003
24939,54.81037,9.42185
24939,54.81037,9.42185
56294,50.25,7.36667
55758,49.7667,7.3
86507,48.2333,10.85
06528,51.50711,11.42819
39579,52.50601,11.85559
67374,49.3167,8.34083
73333,48.65,9.78333
07646,50.9167,11.7833
23815,53.92216,10.4402
38667,51.8019139405272,10.536938188916
84453,48.25,12.5333
66887,49.6167,7.53333
67678,49.5,7.85
56290,50.0833,7.38333
67376,49.2942,8.345
18059,53.9844,12.11161
16248,52.84009,13.93726
91595,49.2333,10.5833
17291,53.2658983330896,13.9486755554199
07616,50.9833,11.8333
24887,54.5180797040668,9.37611654544417
72587,48.4962,9.51482
19412,53.71757,11.7510600000001
31622,52.70526,9.25217999999995
97953,49.6203,9.59583
18513,54.01465,12.96282
19374,53.53182,11.8413
18546,54.523786,13.59488
16818,52.92812,12.74622
17194,53.61457,12.42616
82069,47.9833,11.4667
56237,50.5167,7.71667
17349,53.4584697793125,13.4285967407227
07937,50.6333,11.9667
89129,48.5333,10.1333
66903,49.45,7.35
83374,47.9667,12.6
55278,49.8472,8.31667
49594,52.5028475552629,7.95377655029301
08304,50.5,12.5333
53547,50.55,7.3
19069,53.70483,11.43506
86570,48.5167,11.1167
93480,49.2,12.9333
78476,47.7167,9.06667
88364,47.8167,9.8
14715,52.67825,12.24645
09468,50.6,12.95
14778,52.51273,12.64399
37547,51.8539,9.96584000000007
73568,48.85,9.8
19230,53.3782,11.14941
39619,52.89289,11.44271
95367,50.0667,11.55
56841,49.95,7.11667
83132,47.9833,12.3833
34621,50.9833,9.33333
29229,52.6929,10.0216
55444,49.9333,7.83333
97837,49.8194,9.62889
22946,53.61096,10.40473
59399,51.7086,7.37828000000002
66909,49.45,7.45
27419,53.25596,9.48104999999998
23898,53.68311,10.46705
21483,53.45461,10.55031
24576,53.8893855875667,9.78687602336885
24943,54.7650937115,9.4772163039
42579,51.32748147456,6.96555420104983
17139,53.76891,12.83336
18196,54.03723,12.25153
14913,51.9630722081012,13.0431054550172
55288,49.8278,8.17611
73266,48.6,9.5
73098,48.7333,9.63333
37345,51.5016701,10.4922799999999
48341,52.0468975433455,7.4699533227539
99986,51.1508614349929,10.4172149841309
27624,53.57786,8.80115999999998
06869,51.9591,12.53332
06313,51.52077,11.5074500000001
24582,54.162083522502,10.08378654862
14913,51.9261,13.14172
73066,48.7048,9.5857
35315,50.7333,9.0
64646,49.6408,8.63722
19300,53.26244,11.81313
19372,53.26244,11.81313
29576,53.05078,10.51518
86984,47.6833,10.8
21502,53.45298,10.42135
19061,53.60716,11.46771
19063,53.60716,11.46771
39175,52.18064,11.78211
24999,54.807239,9.522599
17392,53.72593,13.59457
78112,48.1238199,8.3923531
36318,50.6833,9.3
54317,49.7167,6.78333
17255,53.20742,12.99518
54570,50.1833,6.76667
54675,49.95,6.26667
16792,53.04847,13.2517800000001
08396,50.8833,12.5
19300,53.31371,11.68864
18573,54.3557,13.21985
94530,48.8,13.1
57648,50.6667,7.91667
47669,51.40786,6.33968000000004
25724,53.906748117309,8.96890994005474
60326,50.1,8.6
65933,50.1,8.6
24340,54.462724215,9.81717886329
09569,50.8667,13.1667
29416,52.87071,11.34863
54657,50.0,6.61667
18586,54.34545,13.6218200000001
36452,50.6333,10.1667
83324,47.7667,12.65
18249,53.89964,11.85223
04849,51.594443525229,12.5893004074096
82487,47.6,11.0667
21775,53.69439,8.94117
25776,54.3500100864308,9.08330614671705
24814,54.36678,9.81944
15537,52.4111,13.8889
15518,52.4111,13.8889
15528,52.4111,13.8889
93152,49.0253,11.9611
67308,49.6158,8.08833
19209,53.58724,11.17512
39638,52.58666,11.48508
55776,49.6167,7.28333
38368,52.33671,10.9622400000001
18196,53.98537,12.22068
39649,52.46076,11.14103
73079,48.6833,9.76667
23824,54.0412210764855,10.3180888886929
09405,50.7667,13.0167
91088,49.6333,11.0167
16845,52.82585,12.40418
06712,51.0167,12.2333
63825,50.1,9.25
18273,53.80412,12.18655
12435,52.445817,13.574588
12437,52.445817,13.574588
12487,52.445817,13.574588
12439,52.445817,13.574588
12524,52.445817,13.574588
12526,52.445817,13.574588
12527,52.445817,13.574588
12489,52.445817,13.574588
12459,52.445817,13.574588
12555,52.445817,13.574588
12557,52.445817,13.574588
12559,52.445817,13.574588
12587,52.445817,13.574588
12589,52.445817,13.574588
65385,49.9833,7.91667
39249,51.97592,11.78002
17209,53.4449393888079,12.5571239471435
16818,52.99633,12.63264
66879,49.5167,7.58333
83329,47.9087,12.7362
08626,50.4519,12.4815
08606,50.4519,12.4815
72479,48.1761,9.0904
71706,48.9,9.06667
55457,49.9,7.93333
53567,50.6833,7.38333
16928,53.15046,12.17707
94262,49.05,12.8667
37194,51.62329,9.55781999999999
25335,53.7552973008561,9.65623957259651
25336,53.7552973008561,9.65623957259651
25337,53.7552973008561,9.65623957259651
97502,50.0667,10.1333
54456,49.65,6.48333
84371,48.4,13.0167
65205,50.0833,8.25
08352,50.532222,12.871389
59889,51.25405,8.17076999999995
84160,48.544375,12.528772
89197,48.55,10.0
03172,51.95079,14.70258
29614,52.98414,9.84249
16767,52.72349,13.1947700000001
14797,52.3423,12.68296
54293,49.75,6.63333
15236,52.4213,14.3875
15326,52.4213,14.3875
17192,53.5056752356192,12.8741554077149
55234,49.7286,8.00333
67746,49.6667,7.48333
25709,53.9511274906169,9.00880578749451
19348,53.10143,11.81946
91361,49.7,11.1
37318,51.40125,10.05057
14513,52.39584,13.27631
58452,51.4181009105116,7.28084453399651
58456,51.4181009105116,7.28084453399651
07751,50.9667,11.7
24217,54.4089926501879,10.3452036738397
74245,49.0994,9.38139
99947,51.2,10.65
06712,51.05,12.0667
66879,49.45,7.53333
09619,50.7742994449119,13.4158393859864
67742,49.65,7.53333
04720,51.1167,13.1167
55469,50.0333,7.56667
21529,53.48588,10.3156
82327,47.9167,11.2833
98646,50.3583,10.7042
19205,53.75891,11.25135
99610,51.1167,11.2
89195,48.3,9.98333
06317,51.4610977134863,11.6697469894409
96170,49.9,10.7167
83059,47.85,12.0667
79276,48.0833,7.81667
74182,49.133,9.383
56858,50.0833,7.28333
25836,54.36090446984,8.76124655051221
25355,53.783780787891,9.80737869782444
91614,49.0167,10.3667
55422,50.0667,7.76667
54317,49.7333,6.85
07806,50.7,11.7167
19294,53.18591,11.29675
57520,50.7333,7.85
17406,53.95668,13.91926
22946,53.59509,10.26694
14715,52.63996,12.51552
25560,54.013794,9.481068
86836,48.1667,10.8
54668,49.8833,6.46667
06922,51.66362,12.9254
16230,52.77591,13.70492
06528,51.5004541600458,11.1686311904907
07778,50.9833,11.5833
99759,51.3820143603973,10.5235664550783
25746,54.214810444152,9.137088806873
37581,51.870662,10.024588
18059,54.01024,12.09624
39249,51.9303301,11.84795
34326,51.05,9.6
16775,53.00562,13.15121
21514,53.51139,10.61771
32257,52.19851,8.58329000000003
21640,53.48135,9.56988
36251,50.9,9.76667
92521,49.3894,12.1397
15306,52.5150783488059,14.3140141693116
95326,50.1,11.45
86853,48.15,10.7667
83115,47.7667,12.15
82229,48.0333,11.2
16775,53.14365,13.04795
69254,49.2472,8.68278
59969,51.0833,8.61667
26919,53.32658,8.47806000000003
56290,50.15,7.4
75387,48.65,8.7
79249,47.9667,7.83333
66871,49.5167,7.45
26169,53.02458,7.85832000000005
16248,52.86227,13.96986
18519,54.14129,13.19523
50321,50.8333,6.9
08326,50.5,12.6667
86465,48.45,10.6667
18519,54.23386,13.28514
54470,49.9167,6.98333
18528,54.4501,13.38948
56291,50.1333,7.53333
24235,54.4147079747742,10.2691422611476
56283,50.2,7.43333
31604,52.4552,8.96346
86489,48.25,10.3333
23898,53.6908,10.52954
96237,50.23,11.08
67699,49.5333,7.75
46325,51.848372553829,6.85974260314947
19336,52.8913,11.9831
84130,48.6333,12.5
02708,51.07387,14.6481699999999
55606,49.85,7.48333
17291,53.2108,14.00713
25548,53.980347,9.756469
07356,50.45,11.65
17179,54.02929,12.6650500000001
16303,53.14884,14.21521
16306,53.14884,14.21521
67311,49.5386,8.10389
31718,52.3766,9.18808
69226,49.3239,8.69556
18556,54.66594,13.43179
19089,53.5676,11.7538500000001
