city,zip,lat,lon
Butjadingen,26969,53.5501577338822,8.33328338623051
Altenzaun,39596,52.7402,12.02574
"Bitterfeld-Wolfen Thalheim bei Wolfen",06766,51.6492515257275,12.2296391217042
Schwanstetten,90596,49.3,11.1167
Gumtow,16866,52.97835,12.24995
"Mirow, Mecklenburg",17252,53.27331,12.8168900000001
"Dornum, Ostfriesland",26553,53.6555,7.43019
Altenholz,24161,54.4016457700682,10.1185690820218
"Schenkenhorst, Altmark",39638,52.60278,11.39514
"Möser",39291,52.2179007832045,11.7914654867554
Zapfendorf,96199,50.0333,10.9333
"Carmzow-Wallmow Wallmow",17291,53.34133,14.08544
"Großrückerswalde",09518,50.6333,13.1167
"Bergen auf Rügen Silvitz",18528,54.395833,13.503478
"Schöppingen",48624,52.0940944626722,7.23706363494875
"Zehnhausen bei Rennerod",56477,50.65,8.06667
"Prümzurlay",54668,49.8667,6.43333
"Bad Wünnenberg",33181,51.51728,8.69938999999999
Tessenow,19376,53.35421,11.89909
Schillingen,54429,49.6333,6.78333
Knittlingen,75438,49.0275,8.75389
"Altefähr Klein Bandelvitz",18573,54.31525,13.1589300000001
Juist,26571,53.6768,6.99253
Neukirchen-Vluyn,47506,51.4425108617499,6.55381946563716
Penig,04657,50.9333,12.7167
Penig,09322,50.9333,12.7167
"Groß Luckow",17337,53.53538,13.83227
Vogelsang,15890,52.18197,14.66392
"Oldendorf, Holstein",25588,53.953409,9.458583
Kleinsteinhausen,66484,49.2,7.46667
"Offenheim, Rheinhessen",55234,49.7256,8.03028
"Hohburg bei Wurzen",04808,51.41241,12.80066
"Rövershagen",18182,54.17642,12.23382
Alperstedt,99195,51.1,11.05
"Neustadt in Sachsen",01844,51.02528,14.2111
"Neuschönau",94556,48.8833,13.4833
Wiedensahl,31719,52.3825,9.11936
Erftstadt,50374,50.8167,6.76667
Krummesse,23628,53.78038,10.64071
Martinsrieth,06528,51.4404161454338,11.2447154815674
"Sulzbach bei Idar-Oberstein",55758,49.8333,7.33333
Mettmann,40822,51.25097,6.97401000000002
"Hilpoltstein, Mittelfranken",91161,49.19,11.1886
Wickerode,06536,51.47671,11.13207
Dortmund,44135,51.504225397481,7.48365411122495
Dortmund,44137,51.504225397481,7.48365411122495
Dortmund,44139,51.504225397481,7.48365411122495
Dortmund,44141,51.504225397481,7.48365411122495
Dortmund,44143,51.504225397481,7.48365411122495
Dortmund,44145,51.504225397481,7.48365411122495
Dortmund,44147,51.504225397481,7.48365411122495
Dortmund,44149,51.504225397481,7.48365411122495
Dortmund,44225,51.504225397481,7.48365411122495
Dortmund,44227,51.504225397481,7.48365411122495
Dortmund,44229,51.504225397481,7.48365411122495
Dortmund,44263,51.504225397481,7.48365411122495
Dortmund,44265,51.504225397481,7.48365411122495
Dortmund,44267,51.504225397481,7.48365411122495
Dortmund,44269,51.504225397481,7.48365411122495
Dortmund,44287,51.504225397481,7.48365411122495
Dortmund,44289,51.504225397481,7.48365411122495
Dortmund,44309,51.504225397481,7.48365411122495
Dortmund,44319,51.504225397481,7.48365411122495
Dortmund,44328,51.504225397481,7.48365411122495
Dortmund,44329,51.504225397481,7.48365411122495
Dortmund,44339,51.504225397481,7.48365411122495
Dortmund,44357,51.504225397481,7.48365411122495
Dortmund,44359,51.504225397481,7.48365411122495
Dortmund,44369,51.504225397481,7.48365411122495
Dortmund,44379,51.504225397481,7.48365411122495
Dortmund,44388,51.504225397481,7.48365411122495
"Baruth / Mark Radeland bei Baruth, Mark",15837,52.05255,13.55432
"Kaltenborn bei Adenau",53520,50.4,7.01667
Schleswig,24837,54.51808,9.57038
"Heidekreis Wense bei Dorfmark",29683,52.92123,9.82285000000002
Perasdorf,94366,48.95,12.8
Crailsheim,74564,49.15,10.0833
Wonsees,96197,49.9833,11.3
Nonnenhorn,88149,47.5833,9.61667
"Neuenhaus, Dinkel",49828,52.4965452599612,6.96676655952456
"Velden, Vils",84149,48.3667,12.25
"Westendorf bei Kaufbeuren",87679,47.9333,10.7167
"Bodenheim, Rhein",55294,49.9353,8.32
Eibau,02739,50.98658,14.65369
Ravengiersburg,55471,49.9333,7.48333
"Krefeld Fischeln",47804,51.3050710630849,6.60032777631841
"Krefeld Fischeln",47805,51.3050710630849,6.60032777631841
"Krefeld Fischeln",47807,51.3050710630849,6.60032777631841
"Krefeld Fischeln",47809,51.3050710630849,6.60032777631841
"Wansleben am See",06318,51.4617,11.7483999999999
Bachhagel,89429,48.6333,10.3167
"Georgenthal / Thüringer Wald",99887,50.8167,10.6667
Regnitzlosau,95194,50.3,12.05
"Schwülper",38179,52.3562647621326,10.4319696243288
"Wallhausen (Württemberg)",74599,49.211,10.063
"Bretthausen bei Rennerod",56479,50.6667,8.06667
Ellerdorf,24589,54.1930774566587,9.84013468170718
"Felde, Holstein",24242,54.2972792118201,9.92740236366335
"Königslutter am Elm",38154,52.25248,10.8140100000001
"Stetten, Schwaben",87778,48.0333,10.4333
"Obertaufkirchen Brunn bei Dorfen, Stadt",84405,48.24358,12.222853
"Grub bei Suhl",98530,50.549722,10.633056
Beverungen,37688,51.6685,9.37233000000003
"Flensburg Nordstadt",24939,54.81037,9.42185
"Flensborg Nordstadt",24939,54.81037,9.42185
"Münstermaifeld",56294,50.25,7.36667
"Herborn bei Idar-Oberstein",55758,49.7667,7.3
Oberottmarshausen,86507,48.2333,10.85
"Blankenheim bei Sangerhausen",06528,51.50711,11.42819
Demker,39579,52.50601,11.85559
Hanhofen,67374,49.3167,8.34083
"Gingen an der Fils",73333,48.65,9.78333
"Waldeck bei Stadtroda",07646,50.9167,11.7833
